Unnamed: 0,Well_ID,AL_Key,Artificial_Lift_Type,AL_Bottom_Depth,ESP_Pump_Stages,DLS_Critical,ESP_Motor_Frequency_Rating,ESP_Motor_Current_Rating,ESP_Motor_Voltage_Rating,ESP_Motor_Power_Rating,DLS_at_Set_Depth
52,113,ESP_2,ESP,8621.67,0,7.107809335,,,,,0.991308015
53,339,ESP_1,ESP,8393.5,445,18.40259354,60.0,91.0,1222.0,167.0,0.378523005
54,339,ESP_2,ESP,8659.4,0,6.533299243,,,,,2.229769269
55,73,ESP_1,ESP,8336.69,445,17.48872949,60.0,75.0,1393.0,161.0,
56,349,ESP_1,ESP,8288.28,89,17.46412637,60.0,75.0,1393.0,161.0,
57,35,ESP_1,ESP,8610.69,0,14.49166592,,,,,
58,130,ESP_1,ESP,8505.29,0,11.65627385,,,,,
59,263,ESP_2,ESP,8695.78,420,22.08583849,,44.0,2950.0,200.0,0.515731894
60,353,ESP_1,ESP,8568.9,0,11.65627385,,,,,0.40453889
61,353,ESP_2,ESP,8512.84,0,18.39865198,,,,,0.465696549
62,62,ESP_1,ESP,8577.1,0,22.84273727,,,,,8.687692366
63,127,ESP_1,ESP,7118.31,0,34.54973956,,,,,
64,70,ESP_1,ESP,7279.82,0,34.99328722,,,,,1.115982396
65,25,ESP_1,ESP,7516.15,415,13.07203155,,75.0,1393.0,161.0,0.294302776
66,72,ESP_1,ESP,7517.8,415,13.07203155,,75.0,1393.0,161.0,
67,97,ESP_1,ESP,7382.49,415,13.19499337,,75.0,1393.0,161.0,0.152958922
68,74,ESP_1,ESP,8471.14,42,19.70358765,,52.0,1508.0,120.0,
69,74,ESP_3,ESP,8533.28,300,26.24772471,,,,,
70,81,ESP_1,ESP,8320.05,284,19.73260975,,,,,
71,81,ESP_2,ESP,8317.49,300,24.27588544,,67.1,2626.0,270.0,
72,96,ESP_1,ESP,8170.47,304,23.42463635,,67.1,2626.0,270.0,
73,4,ESP_2,ESP,7418.04,351,19.13009991,,67.1,2626.0,270.0,
74,7,ESP_1,ESP,7367.24,267,19.05016544,,,,,
75,7,ESP_2,ESP,7375.15,300,23.19624053,,42.3,2314.0,150.0,
76,109,ESP_1,ESP,7359.18,267,19.40137572,,,,,
77,50,ESP_1,ESP,7461.96,267,19.45075104,,,,,
78,50,ESP_2,ESP,7489.46,300,23.64962277,,67.1,2626.0,270.0,
79,19,ESP_1,ESP,7688.29,0,19.3754439,,,,,7.499411306
80,91,ESP_1,ESP,7265.98,415,18.08864013,,,,,9.60027721
81,100,ESP_1,ESP,7186.61,415,17.55054166,,,,,8.494028119
82,17,ESP_1,ESP,7278.23,415,15.54334098,,,,,1.92547833
83,23,ESP_1,ESP,7814.4,284,16.75602999,,67.1,2626.0,270.0,
84,89,ESP_1,ESP,7696.56,284,17.04903524,,456.0,4181.0,18.0,
85,37,ESP_1,ESP,7826.93,284,16.85982595,,18.0,4181.0,456.0,
86,102,ESP_1,ESP,7688.95,284,18.94639646,,18.0,4181.0,456.0,
87,132,ESP_4,ESP,8438.3,456,16.95597147,,76.0,1186.0,110.0,
88,132,ESP_5,ESP,8683.62,0,7.022547291,,,,,
89,328,ESP_1,ESP,8229.6,0,6.959543198,,,,,
90,350,ESP_1,ESP,7865.17,445,10.49597095,60.0,75.0,1393.0,161.0,
91,66,ESP_1,ESP,8484.32,445,17.55364374,60.0,75.0,1393.0,161.0,
92,82,ESP_1,ESP,8736.32,0,5.145557122,,,,,1.700564139
93,115,ESP_1,ESP,8750.49,0,5.190540249,,,,,
94,11,ESP_1,ESP,8460.78,0,,,,,,0.168662981
95,106,ESP_1,ESP,8803.56,0,6.168489571,,,,,0.432612844
96,158,ESP_1,ESP,0.0,0,,,,,,0.762632014
97,64,ESP_1,ESP,8224.43,0,24.59654413,,,,,
98,55,ESP_1,ESP,8396.67,0,7.801263176,,,,,
99,116,ESP_1,ESP,8098.22,356,7.614640594,,,,,0.918900219
100,5,ESP_1,ESP,7925.35,445,10.36871934,60.0,75.0,1393.0,161.0,
101,90,ESP_1,ESP,7892.13,445,17.49489111,,75.0,1393.0,161.0,0.179873827
102,28,ESP_1,ESP,7842.18,445,17.55674692,,75.0,1393.0,161.0,0.478567934
103,80,ESP_1,ESP,8582.49,445,13.67628157,60.0,75.0,1393.0,161.0,
104,61,ESP_1,ESP,8481.26,0,5.185446048,,,,,
105,43,ESP_1,ESP,7783.63,445,22.47093583,60.0,91.0,1222.0,167.0,
106,103,ESP_1,ESP,8084.73,351,15.71951148,,18.0,4181.0,456.0,
107,101,ESP_1,ESP,7803.24,351,33.17140948,,18.0,4181.0,456.0,
108,337,ESP_1,ESP,8596.47,0,11.75893619,,,,,8.767229801
109,6,ESP_1,ESP,8528.73,415,18.05137788,,,,,11.67172714
110,330,ESP_1,ESP,8592.0,415,12.92484755,,,,,
111,240,ESP_1,ESP,8536.0,0,12.81878532,,,,,
112,217,ESP_1,ESP,8505.1,0,12.81878532,,,,,0.092561665
113,40,ESP_1,ESP,8502.67,0,12.86153247,,,,,
114,93,ESP_1,ESP,8761.28,0,20.2142823,,,,,2.30306935
115,68,ESP_1,ESP,8750.5,0,20.05356278,,,,,
116,87,ESP_2,ESP,7967.64,445,18.77129453,,78.5,1664.0,204.0,0.335559698
117,248,ESP_2,ESP,8346.43,415,17.32197655,,70.0,1825.0,208.0,0.304522011
118,48,ESP_1,ESP,8092.32,0,17.41818674,,,,,
119,22,ESP_1,ESP,7880.92,0,17.32113936,,,,,
120,51,ESP_1,ESP,8070.28,0,15.69516981,,,,,
121,42,ESP_1,ESP,7907.61,0,19.89831869,,,,,16.17941403
122,261,ESP_1,ESP,8434.59,267,16.31863879,,67.1,2626.0,270.0,1.167381611
123,123,ESP_2,ESP,8051.39,304,20.55878923,,49.6,1055.0,71.4,
124,14,ESP_1,ESP,8252.73,267,19.44200796,,67.1,2626.0,270.0,10.1774704
125,32,ESP_1,ESP,8599.37,267,19.43367392,,67.1,2626.0,270.0,0.879449208
126,361,ESP_1,ESP,7499.0,415,18.46849029,,,,,0.166860346
127,92,ESP_1,ESP,8562.68,267,16.23531921,,67.1,2626.0,270.0,
128,1,ESP_2,ESP,8593.57,415,17.86199,,73.0,1835.0,208.0,0.392308735
129,120,ESP_1,ESP,8171.04,267,19.4106738,,18.0,4181.0,45.0,
130,122,ESP_1,ESP,8211.9,267,19.37518406,,18.0,4181.0,456.0,13.41168964
131,121,ESP_1,ESP,8557.56,267,24.08552496,,67.1,2626.0,270.0,
132,362,ESP_1,ESP,8411.17,267,19.40354715,,67.1,2626.0,270.0,
133,362,ESP_2,ESP,8411.18,0,19.1337909,,67.1,2626.0,270.0,
134,269,ESP_1,ESP,8575.39,267,19.37886994,,67.1,2626.0,270.0,
135,129,ESP_1,ESP,8680.67,267,19.38133837,,67.1,2626.0,270.0,
136,145,ESP_1,ESP,8529.4,267,19.2810926,,67.1,2626.0,270.0,0.178727114
137,145,ESP_2,ESP,8576.1,267,19.27634665,,67.1,2626.0,270.0,0.18239736
138,139,ESP_1,ESP,7938.95,267,16.33435736,,67.1,2626.0,270.0,9.748001871
139,65,ESP_1,ESP,8482.97,267,23.57663594,,67.1,2626.0,270.0,
140,256,ESP_1,ESP,8678.05,267,19.02328586,,67.1,2626.0,270.0,
141,256,ESP_2,ESP,8658.21,327,26.36385471,,46.6,2730.0,195.0,
142,45,ESP_1,ESP,8472.47,267,19.00530292,,67.1,2626.0,270.0,
143,254,ESP_1,ESP,8384.99,0,23.58783535,,67.1,2626.0,270.0,1.181467209
144,15,ESP_1,ESP,7799.32,267,23.57850177,,,,,
145,15,ESP_2,ESP,7787.02,327,26.13490564,,46.6,2730.0,195.0,
146,44,ESP_1,ESP,8312.88,267,23.5990454,,67.1,2626.0,270.0,
147,253,ESP_1,ESP,7870.43,351,22.95008118,,,,,
148,18,ESP_1,ESP,7935.65,388,15.8472771,,55.2,2495.0,216.0,
149,124,ESP_1,ESP,7835.7,267,23.64586887,,67.1,2626.0,270.0,
150,247,ESP_1,ESP,8170.27,267,23.49853688,,67.1,2626.0,270.0,0.682051923
151,247,ESP_3,ESP,8194.98,267,22.42495547,,67.1,2626.0,270.0,0.916932955
152,75,ESP_1,ESP,7943.32,267,23.5152288,,67.1,2626.0,270.0,0.44148719
153,119,ESP_1,ESP,7866.3,445,11.14896563,,,,,
154,134,ESP_1,ESP,8079.45,267,16.18949031,,67.1,2626.0,270.0,
155,95,ESP_1,ESP,7643.99,304,22.28739973,,,,,
156,33,ESP_1,ESP,8147.14,207,16.29399643,,67.1,2626.0,270.0,
157,99,ESP_1,ESP,8086.77,207,16.36118116,,67.1,2626.0,270.0,
158,252,ESP_1,ESP,7569.43,267,18.52711494,,67.1,2626.0,270.0,
159,284,ESP_1,ESP,8116.06,267,20.42305478,,,,,
160,140,ESP_1,ESP,7868.16,284,22.45876361,,,,,10.84455306
161,341,ESP_1,ESP,7927.9,504,17.56192132,,,,,
162,143,ESP_1,ESP,8041.24,0,12.23151936,,,,,
163,258,ESP_1,ESP,7908.0,445,12.9055064,,,,,9.620483706
164,285,ESP_1,ESP,7958.81,415,12.92428903,,,,,10.9350877
165,142,ESP_1,ESP,8160.9,415,14.10893285,,,,,
